[File, System, Time, Main, , System] FileModifyDate - File Modification Date/Time: 2019:05:03 08:54:44-04:00
[File, System, Time, Main, , System] FileAccessDate - File Access Date/Time: 2019:05:03 08:54:44-04:00
[File, System, Time, Main, , System] FileInodeChangeDate - File Inode Change Date/Time: 2019:05:03 08:54:44-04:00
[QuickTime, QuickTime, Time, Main, , MOV-Movie-MovieHeader] 1 - Create Date: 2005:06:29 19:02:19
[QuickTime, QuickTime, Time, Main, , MOV-Movie-MovieHeader] 2 - Modify Date: 2006:09:22 11:06:45
[QuickTime, Track1, Time, Main, , MOV-Movie-Track-TrackHeader] 1 - Track Create Date: 2000:01:02 03:04:05
[QuickTime, Track1, Time, Main, , MOV-Movie-Track-TrackHeader] 2 - Track Modify Date: 2013:11:04 10:32:15
[QuickTime, Track1, Time, Main, , MOV-Movie-Track-Media-MediaHeader] 1 - Media Create Date: 2005:06:29 19:02:19
[QuickTime, Track1, Time, Main, , MOV-Movie-Track-Media-MediaHeader] 2 - Media Modify Date: 2006:09:22 11:06:45
[QuickTime, ItemList, Audio, Main, Copy1, MOV-Movie-UserData-Meta-ItemList] ©nam - Title: Sample
[QuickTime, ItemList, Time, Main, , MOV-Movie-UserData-Meta-ItemList] ©day - Content Create Date: 2006
[XMP, XMP-dc, Image, Main, , MOV-XMP] title - Title: x
